NumAgents,SimulationTime,MaxWaitTime,Lambda,AverageCallTime,TotalCalls,AbandonedCalls,Utilization
6,1440,15,1,3,2478,0,74.48
10,1440,15,1,5,2432,0,73.03
5,1440,15,0.5,5,992,0,61.26
7,1440,10,1,3,2420,0,60.53
7,1440,15,0.5,7,925,0,57.99
8,1440,15,1,3,2418,0,54.84
9,1440,15,0.5,9,873,0,54.68
8,1440,10,0.5,7,961,0,54.43
6,1440,10,0.5,5,984,0,52.8
6,1440,15,0.5,5,1008,0,52.78
3,1440,15,0.5,3,899,0,51.23
8,1440,10,1,3,2334,0,51
10,1440,15,0.5,9,918,0,50.88
3,1440,10,0.5,3,902,0,50.72
9,1440,5,1,3,2572,0,50.64
8,1440,15,0.5,7,942,0,50.5
9,1440,10,1,3,2471,0,49.07
9,1440,15,1,3,2427,0,48.15
9,1440,15,0.5,7,963,0,48.06
10,1440,15,1,3,2594,0,45.94
9,1440,10,0.5,7,915,0,44.98
4,1440,15,0.5,3,927,0,44.97
10,1440,15,0.5,7,951,0,44.03
7,1440,15,0.5,5,908,0,43.62
10,1440,10,0.5,7,988,0,43.04
7,1440,5,0.5,5,927,0,42.29
10,1440,10,1,3,2371,0,41.95
8,1440,10,0.5,5,994,0,38.98
7,1440,10,0.5,5,866,0,38.12
4,1440,10,0.5,3,923,0,37.36
8,1440,15,0.5,5,912,0,34.99
9,1440,5,0.5,5,921,0,33.36
5,1440,10,0.5,3,926,0,32.53
9,1440,15,0.5,5,965,0,32.44
5,1440,15,0.5,3,899,0,31.81
9,1440,10,0.5,5,928,0,31.33
10,1440,5,0.5,5,948,0,30.06
10,1440,10,0.5,5,923,0,28.44
10,1440,15,0.5,5,884,0,27.11
6,1440,10,0.5,3,926,0,27.07
6,1440,15,0.5,3,898,0,26.23
7,1440,10,0.5,3,976,0,25.46
6,1440,5,0.5,3,853,0,24.42
7,1440,5,0.5,3,944,0,23.49
7,1440,15,0.5,3,885,0,21.83
8,1440,10,0.5,3,962,0,20.29
8,1440,15,0.5,3,970,0,20.24
8,1440,5,0.5,3,867,0,18.97
9,1440,15,0.5,3,962,0,18.67
9,1440,10,0.5,3,940,0,18.33
9,1440,5,0.5,3,870,0,16.91
10,1440,15,0.5,3,965,0,16.51
10,1440,5,0.5,3,933,0,16.2
10,1440,10,0.5,3,916,0,15.46
7,1440,15,1,3,2672,1,67.71
8,1440,15,0.5,9,894,1,66.36
8,1440,10,0.5,9,896,1,65.57
8,1440,5,0.5,5,993,1,39.94
10,1440,5,1,3,2468,2,45.69
5,1440,5,0.5,3,934,2,34.69
4,1440,15,0.5,5,894,3,68.65
7,1440,10,0.5,7,970,3,65.83
6,1440,15,0.5,7,866,3,63.01
10,1440,5,0.5,7,940,3,40.99
10,1440,10,0.5,9,975,4,55.92
9,1440,5,0.5,7,881,4,43.37
10,1440,5,0.5,9,899,6,54.02
8,1440,5,0.5,7,853,6,46.14
4,1440,5,0.5,3,893,6,40.89
5,1440,10,0.5,5,930,7,58.56
7,1440,15,0.5,9,907,8,71.07
6,1440,10,1,3,2406,8,69.19
6,1440,10,0.5,7,928,9,67.28
9,1440,10,0.5,9,978,11,65.98
8,1440,5,1,3,2540,14,57.38
9,1440,5,0.5,9,969,18,61.91
7,1440,5,0.5,7,893,18,59.98
6,1440,5,0.5,5,965,20,51.64
2,1440,15,0.5,3,908,21,70.8
5,1440,15,0.5,7,986,24,88.01
10,1440,10,1,5,2551,25,77.54
3,1440,5,0.5,3,882,26,50.79
9,1440,15,1,5,2479,27,84.27
4,1440,10,0.5,5,924,27,70.68
10,1440,5,1,5,2278,27,70.34
5,1440,5,0.5,5,928,34,56.97
7,1440,5,1,3,2510,38,63.38
7,1440,10,0.5,9,936,41,73.78
8,1440,5,0.5,9,967,43,69.15
6,1440,5,0.5,7,881,59,65.47
3,1440,15,0.5,5,866,61,82.75
10,1440,10,1.5,3,4863,63,83.94
6,1440,15,0.5,9,917,69,76.91
2,1440,10,0.5,3,927,81,75.69
5,1440,15,1,3,2565,85,84.12
4,1440,5,0.5,5,935,88,70.99
9,1440,10,1,5,2499,90,85.81
6,1440,10,0.5,9,917,96,79.14
6,1440,5,1,3,2477,101,69.49
5,1440,15,0.5,9,913,106,90.24
4,1440,15,0.5,7,889,108,92.19
5,1440,10,1,3,2418,114,83.79
3,1440,10,0.5,5,951,118,89.51
4,1440,10,0.5,7,896,119,87.05
7,1440,5,0.5,9,994,119,75.05
8,1440,15,1,5,2514,120,91.55
5,1440,10,0.5,7,988,122,83.49
5,1440,5,0.5,7,954,124,78.01
6,1440,5,0.5,9,944,135,76.55
2,1440,5,0.5,3,938,137,69.93
10,1440,15,1.5,3,5209,161,90.47
9,1440,5,1,5,2528,176,81.64
4,1440,5,0.5,7,940,181,81.06
5,1440,5,0.5,9,877,186,84.17
3,1440,5,0.5,5,936,206,82.82
5,1440,10,0.5,9,995,223,92.04
4,1440,15,1,3,2430,228,97.52
5,1440,5,1,3,2403,233,76.39
4,1440,15,0.5,9,906,252,96.53
9,1440,15,1.5,3,4853,262,93.26
8,1440,5,1,5,2531,272,85.81
8,1440,15,1.5,3,4839,276,98.06
10,1440,15,1,7,2428,291,96.62
